id,x,y,z,colorb_v,lum,absmag,appmag,texnum,distly,dcalc,plx,plxerr,vx,vy,vz,speed,hipnum,name
45036,-29.5736,-35.9307,74.9046,0.671,38.43917,0.76,5.49,1,287.48,1,11.34,7.58,-53.472,-54.3,13.247,77.351,52689,HIP52689 HD93291 Gli 52Leo 
3106,-2.6446,8.057,-101.8972,0.82,51.67999,0.44,5.49,1,333.33,1,9.78,7.26,-80.493,-55.881,7.688,98.29,3607,HIP3607 HD4398 Gli  
23794,-69.0973,-56.6497,-32.702,0.82,44.75016,0.6,5.49,1,310.18,1,10.51,8.85,-1.803,-12.26,-18.593,22.344,27517,HIP27517 HD39070 Gli  
39747,-51.5796,-217.1105,71.0525,0.991,271.10925,-1.36,5.49,1,763.47,1,4.27,15.93,-21.263,-11.737,-13.72,27.895,46578,HIP46578 HD82205 Gli  
12445,-127.7071,157.2316,66.5714,0.451,224.72658,-1.15,5.49,1,695.1,1,4.69,15.35,49.754,-4.006,-21.392,54.305,14417,HIP14417 HD18438 Gli  
76104,152.8251,25.5301,-5.4526,0.991,118.81757,-0.46,5.49,1,505.43,1,6.45,14.73,-42.532,-21.354,6.802,48.075,89369,HIP89369 HD167036 Gli 14Sgr 
99153,-9.152,54.4341,-48.1686,0.046,26.52985,1.17,5.49,1,238.83,1,13.65,5.49,-16.608,-9.07,3.136,19.182,116611,HIP116611 HD222133 Gli 75Peg 
32335,-50.7878,-51.3429,11.3149,1.137,26.41361,1.17,5.49,1,238.3,1,13.68,6.73,25.622,-13.278,3.297,29.046,37901,HIP37901 HD62902 Gli  
6216,-2.0943,-18.3302,-79.2477,0.946,32.72626,0.94,5.49,1,265.26,1,12.29,7.24,1.692,-7.306,-19.055,20.477,7213,HIP7213 HD9525 Gli  
79709,160.0402,16.47,-46.6211,0.021,138.69202,-0.63,5.49,1,546.06,1,5.97,14.74,-13.439,-7.593,-1.236,15.485,93667,HIP93667 HD177074 Gli  
7110,20.3249,-88.582,-187.4644,1.609,214.5446,-1.1,5.49,1,679.17,1,4.8,13.12,-28.142,-37.376,-1.57,46.812,8240,HIP8240 HD10934 Gli  
82571,31.6681,14.4672,-11.5557,0.396,6.65194,2.67,5.49,1,119.59,1,27.26,8.62,28.788,3.901,-40.977,50.23,97063,HIP97063 HD186185 Gli  
75661,26.4303,52.0466,25.8902,0.991,20.15657,1.46,5.49,1,208.17,1,15.66,3.45,57.074,-15.217,19.741,62.279,88836,HIP88836 HD166229 Gli  
38844,-95.0958,-162.9054,95.4753,-0.005,220.94176,-1.14,5.49,1,689.22,1,4.73,17.76,-15.846,-7.845,-7.237,19.105,45526,HIP45526 HD79931 Gli 24Hya 
25150,-48.566,-55.8897,-25.4933,0.021,30.31226,1.02,5.49,1,255.29,1,12.77,5.48,-29.683,-49.044,-25.358,62.685,29150,HIP29150 HD42301 Gli  
87858,121.9077,97.4341,-98.4177,1.137,168.26799,-0.84,5.49,1,601.48,1,5.42,18.27,-12.136,-19.113,13.386,26.301,103401,HIP103401 HD199345 Gli 7Aqr 
19345,-8.9161,-6.3279,-7.6004,0.636,0.87644,4.87,5.49,1,43.41,1,75.1,1.07,-15.785,-7.6,0.444,17.525,22263,HIP22263 HD30495 Gli 58Eri 
13252,-165.8279,100.2167,-38.9196,-0.03,193.063,-0.99,5.49,1,644.27,1,5.06,17.39,-22.893,-24.443,-5.272,33.902,15338,HIP15338 HD20315 Gli 30Per 
36428,1.4873,-147.1391,-17.1974,-0.03,108.49071,-0.36,5.49,1,482.96,1,6.75,7.85,-14.495,0.212,-9.925,17.568,42715,HIP42715 HD74535 Gli  
25084,-25.7232,-67.5873,-34.508,0.021,31.44639,0.98,5.5,1,261.22,1,12.48,3.93,-9.942,-30.552,-20.688,38.213,29064,HIP29064 HD42303 Gli Pi2 Col 
48271,21.5816,-58.3979,13.0599,0.946,19.8196,1.48,5.5,1,207.38,1,15.72,4.96,-72.39,32.02,-7.997,79.559,56497,HIP56497 HD100708 Gli  
19944,-173.5865,-77.0409,-100.4489,-0.083,226.07001,-1.16,5.5,1,700.39,2,4.41,29.25,-19.26,-7.085,-17.595,27.032,22958,HIP22958 HD31512 Gli 62Eri 
45033,-20.1537,-18.3126,47.4799,1.038,14.67313,1.81,5.5,1,178.43,1,18.27,4.32,24.412,-1.368,10.108,26.457,52686,HIP52686 HD93257 Gli 51Leo 
